Kawasan (area),Lingkungan (environment),Kelurahan (villages),Kecamatan (district_id),Kabupaten/Kota (region_id),Total Luas (total_area),Total Penduduk (total_population),Tingkat Kekumuhan (slum_value),Latitude,Longitude
Pardomuan I,"Dusun II, III",Pardomuan,121708,1217,34.30,4553,27,2.6007917,98.7051114
Parsaoran I,Dusun I,Parsaoran,121708,1217,16.93,1738,53,2.6175567,98.6936583
Pintusona,"Dusun I, II, III",Pintusona,121708,1217,9.90,1443,30,2.5882897,98.7100056
Rianiate,Dusun I,Rianiate,121708,1217,12.60,1632,35,2.5548158,98.7266619
Siopat Sosor,"Dusun I, II, III",Siopat Sosor,121708,1217,10.20,992,58,2.6855561,98.6912639
Ambarita,Dusun I,Ambarita,121701,1217,41.00,935,28,2.6855561,98.6912639
Tomok Parsaoran,"Dusun I, II, III",Tomok Parsaoran,121701,1217,19.10,3516,29,2.6529228,98.8602833
Simanindo,Dusun II,Simanindo,121701,1217,8.69,520,39,2.6743517,98.8356836
Sirumahombar,"Dusun I, II, III",Sirumahombar,121703,1217,14.80,1869,36,2.4360478,98.8846189
Onan Runggu,"Dusun I, II, III",Onan Runggu,121702,1217,12.21,699,29,2.4568128,98.9765869
Ginolat,Dusun I,Ginolat,121706,1217,10.00,532,47,2.6102108,98.6311144
Siboro,Dusun I,Siboro,121706,1217,7.90,996,40,2.6225733,98.6315533
Pallombuan,"Dusun I, II, III",Pallombuan,121704,1217,2.10,242,20,2.4706939,98.8042742
Turpuk Sihotang,Dusun I,Turpuk Sihotang,121705,1217,1.70,155,23,2.5468272,98.6637783
Cinta Maju,Dusun I,Cinta Maju,121709,1217,3.10,592,46,2.5009014,98.7360364
Ronggur Nihuta,Dusun I,Ronggur Nihuta,121707,1217,2.30,282,56,2.5946503,98.8003297
Adian Jior,Adian Jior 1,Adian Jior,121301,1213,5.77,1025,44,0.8712583,99.5369639
Kampung Padang,Kampung Padang 1,Kampung Padang,121301,1213,3.81,1710,38,0.8909667,99.5779999
Gunung Manaon-Pagaran Tonga,Gunung Manaon-Pagaran Tonga 1,"Gunung Manaon, Pagaran Tonga",121301,1213,7.88,2530,40,0.8788722,99.5357861
Manyabar-Manyabar Jae,Manyabar Manyabar Jae 1,Manyabar,121301,1213,6.51,2300,51,0.8838750,99.5384250
Panyabungan Julu,Panyabungan Julu 1,Panyabungan Julu,121301,1213,8.84,3000,27,0.8641028,99.5565417
Sigalapang Julu,Sigalapang Julu 1,Sigalapang Julu,121301,1213,6.22,1920,51,0.8491861,99.5814139
Gunung Tua Raya,"Banjar Pariduri, Banjar Pasar Pagi, Banjar Janogari","Gunung Tua Jae, Gunung Tua Tonga, Ipar Bondar",121301,1213,8.67,4925,35,0.8840833,99.5574806
Dalan Lidang,"RT 1, RT 2, RT 3, RT 5, RT 6",Dalan Lidang,121301,1213,8.83,3520,49,0.8174722,99.5588694
Pasar Huta Bargot,Pasar Huta Bargot 1,Pasar Huta Bargot,121319,1213,4.92,775,46,0.8737833,99.5140917
Bangun Sejati Binanga,Bangun Sejati Binanga 1,"Bangun Sejati, Binanga",121319,1213,6.11,1470,39,0.8897750,99.5075000
Sikara-Kara IV,Sikara-Kara IV 1,Sikara-Kara IV,121316,1213,3.24,990,39,0.7064389,99.1059639
Siabu,Lingkungan II,Siabu,121306,1213,1.43,1199,35,1.0159306,99.0623083
Hurabara I,Hurabara I,Huraba I,121306,1213,2.51,670,41,1.0069667,99.5049917
Ujung Marisi,Ujung Marisi 1,Ujung Marisi,121308,1213,2.16,215,41,1.0909250,99.4558611
Huta Pungkut Jae,Huta Pungkut Jae 1,Huta Pungkut Jae,121308,1213,0.85,200,43,0.6400000,99.7533222
Huta Pungkut Tonga,Huta Pungkut Tonga 1,Huta Pungkut Tonga,121308,1213,2.57,840,41,0.6395250,99.7546306
Bah Sorma 1,RT001-RW003,Bah Sorma,127207,1272,2.29,253,22,2.97392,99.04626
Bah Sorma 2,RT003-RW001,Bah Sorma,127207,1272,1.17,119,21,2.96705,99.03233
Bah Sorma 3,RT004-RW003,Bah Sorma,127207,1272,2.80,205,19,2.96567,99.03214
